"id","Comm_tbl_IssueBoard_ID","IssuingBoardName","DateCreated"
81,"2989AA7E-28C9-45A3-86F1-3C3BCCA8DC1B",AOA - Neuromuskuloskeletal Medicine,2001-07-14 15:03:35.000
863,"011B00EA-28A0-47E3-9722-3E5B2BD10AFA",American Board of IM/Rheumatology,2010-07-14 18:07:27.600
218,ECBE76A0-E0BC-4847-8526-400CAE0BFF35,RCPSC,2009-03-19 14:06:30.133
112,DE515DCA-8826-41CB-AE41-409B50BCECFE,ABMS-INTERNAL/PULMONARY,2003-05-21 11:31:26.000
926,D41752E0-A6DF-4F43-B840-41A366C917E7,OBGY,2010-07-14 18:07:27.600
939,CC43B80E-3102-4575-A5B3-4245522F7F3A,Certification Board for Radiology Practitioner Ass,2012-07-23 10:53:54.843
906,"6B384C5E-490A-4D5A-891E-430A6CC46D93",American Osteopathic Board of Internal Medicine,2010-07-14 18:07:27.600
930,"23B15B52-9EE5-4AF9-AF3E-434EDB70DF7C",PEDI,2010-07-14 18:07:27.600
63,CF5B7BF0-40FA-46F8-85A3-44F77B261723,ABMS - Otolaryngology,2001-07-14 15:03:35.000
868,"3A42019B-81C7-403F-879B-44FB6270BEE2",American Board of Neurophysiologic Monitoring,2010-07-14 18:07:27.600
891,FE4934EB-B3AD-40AB-9D80-47DFF7AAD85F,American Board of Radiology/Nuclear Radiology,2010-07-14 18:07:27.600
60,"1FB65E41-FE29-405A-A03D-489910CCC796",ABMS - Obstetrics & Gynecology,2001-07-14 15:03:35.000
885,"898699F8-1746-4094-9E67-4B20801D8B07",American Board of Psychiatry/Neurology-Neurophysio,2010-07-14 18:07:27.600
894,"4C180BCD-4DF4-4BF4-83D5-4C9043E91B2E",American Board of Surgery,2010-07-14 18:07:27.600
876,"0D888412-0ED2-4814-8DAE-4D8E0F0AE901",American Board of Pathology/Forensic Pathology,2010-07-14 18:07:27.600
870,"0FD7A281-2462-4BF1-A8D8-4DBD6AF87C44",Am Board Obstetrics & Gynecology/GYN Oncology,2010-07-14 18:07:27.600
900,"8E591991-1DB7-48AD-AD2B-4E31F1A280E1",Advanced Cardiac Life Support,2010-07-14 18:07:27.600
924,B3D2D82B-F6D1-45F2-A9FF-4F3EAE18AF7B,National Athletic Training Association,2010-07-14 18:07:27.600
119,C612B114-5551-4617-A4EC-509AC2FACC57,ABMS-INTERNAL-ENDOCRONOLOGY/METABOLISM,2003-05-28 14:47:05.000
948,"196855D7-9FE6-4CDE-8693-509D5B13DAEA",American Association of Critical-Care Nurses,2024-12-23 05:57:08.407
106,DCEC89B6-7C73-4FE2-AF36-51161E47D60D,Other - Professional Psychology,2001-07-14 15:03:35.000
